sample	classifier	assembler	tp	tn	fp	fn	accuracy	precision	recall	specificity	false_positive_rate	f1_score
Sample 7	plasx05	mpspades	55	46	22	11	0.753731343283582	0.7142857142857143	0.8333333333333334	0.6764705882352942	0.3235294117647059	0.7692307692307692
Sample 7	plasx09	megahit	50	230939	78	44	0.9994721151308246	0.390625	0.5319148936170213	0.9996623625101183	3.37637489881697e-4	0.45045045045045046
Sample 7	plasx075	megahit	58	230851	166	36	0.9991259611182506	0.25892857142857145	0.6170212765957447	0.9992814381625594	7.185618374405347e-4	0.36477987421383645
Sample 7	plasx05	megahit	74	230490	527	20	0.997633171939025	0.12312811980033278	0.7872340425531915	0.9977187826004147	0.0022812173995853118	0.21294964028776978
Sample 8	viralverify	mpspades	13	73	3	68	0.5477707006369427	0.8125	0.16049382716049382	0.9605263157894737	0.039473684210526314	0.26804123711340205
Sample 8	viralverify	megahit	15	298714	92	92	0.9993844362740998	0.14018691588785046	0.14018691588785046	0.9996921079228663	3.078920771336586e-4	0.14018691588785046
Sample 8	genomad	mpspades	47	58	18	34	0.6687898089171974	0.7230769230769231	0.5802469135802469	0.7631578947368421	0.23684210526315788	0.6438356164383562
Sample 8	genomad	megahit	53	298168	638	54	0.9976849451178103	0.07670043415340087	0.4953271028037383	0.9978648353781383	0.002135164621861676	0.13283208020050127
Sample 8	mobrecon	mpspades	2	74	2	79	0.4840764331210191	0.5	0.024691358024691357	0.9736842105263158	0.02631578947368421	0.047058823529411764
Sample 8	mobrecon	megahit	4	298169	637	103	0.997524363276271	0.0062402496099844	0.037383177570093455	0.9978681820311507	0.002131817968849354	0.0106951871657754
Sample 8	plasclass	mpspades	24	59	17	57	0.5286624203821656	0.5853658536585366	0.2962962962962963	0.7763157894736842	0.2236842105263158	0.3934426229508196
Sample 8	plasclass	megahit	38	264979	33827	69	0.8866024562330845	0.0011221024656725232	0.35514018691588783	0.8867927685521709	0.11320723144782903	0.0022371364653243847
